base_score,[717.99713159]
age,Score
"(-inf, 36.0]",4.1671529053063585
"(36.0, 54.0]",2.228259570026247
"(54.0, 61.0]",-1.9869440593834202
"(61.0, 74.0]",-8.0102882483327
"(74.0, inf]",-13.799021093846932
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0991]",-47.65912724450697
"(0.0991, 0.298]",-14.482894163271505
"(0.298, 0.465]",2.712326685836189
"(0.465, 0.983]",23.25402300754213
"(0.983, 1.0]",10.35421082059186
"(1.0, inf]",44.053740301773466
DebtRatio,Score
"(-inf, 0.0174]",-32.8157880368162
"(0.0174, 0.402]",-0.8107428052174599
"(0.402, 1.475]",8.455949690597718
"(1.475, inf]",-3.79354503940683
MonthlyIncome,Score
"(-inf, 0.1]",-21.18405230447466
"(0.1, 5600.0]",3.4716086002932958
"(5600.0, inf]",-3.3785502050341374
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",7.184409339527077
"(1.0, 3.0]",2.819073636508343
"(3.0, 5.0]",0.4624786003010714
"(5.0, 17.0]",-1.05760643646116
"(17.0, inf]",-3.9174634853439727
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",-5.559072371421624
"(0.0, 1.0]",13.76294246779951
"(1.0, 2.0]",21.68621930275844
"(2.0, inf]",24.168284881053037
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",-3.8701205893205985
"(0.0, 1.0]",28.79031597927508
"(1.0, 2.0]",37.10023952196523
"(2.0, inf]",39.36137520942835
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",10.48189427395356
"(0.0, 1.0]",-5.177192053984718
"(1.0, 2.0]",-16.477417854924525
"(2.0, 4.0]",-10.287212129527674
"(4.0, inf]",7.885584615233265
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",-0.9791333512576091
"(0.0, 1.0]",10.931131940632326
"(1.0, 2.0]",14.020889817267882
"(2.0, inf]",14.401362037564928
NumberOfDependents,Score
"(-inf, 0.0]",-14.522336228029907
"(0.0, 1.0]",13.479643133629931
"(1.0, 2.0]",12.242525304907348
"(2.0, inf]",11.093580128273933
